Symbol1	Symbol2	Edge_Sign
r	Cctgamma	-
Tip60	Kap-alpha3	+
Tip60	His3.3B	+
Tip60	Bap55	+
CG11672	mRNA-cap	-
CG11672	RpS17	-
CG11672	CG18812	-
CG11672	RpL9	-
l(3)72Ab	CG1965	-
l(3)72Ab	CG6015	+
l(3)72Ab	CG4849	+
CG1578	CG6197	+
Mes4	MBD-R2	+
mtrm	Patronin	+
Bx42	pea	+
Bx42	Tango4	+
Bx42	CG6905	+
Bx42	Dp1	-
Bx42	Smn	-
Bx42	CG11266	+
Bx42	CG4849	+
Bx42	CG1965	-
Bx42	CG6015	+
Bx42	l(3)72Ab	+
Bx42	CG9667	+
Bx42	Su(H)	+
Bx42	Prp8	+
Bx42	SmD3	+
Bx42	CG3436	+
Bx42	CG6197	+
Bj1	CG12723	+
Bj1	HPS1	+
Bj1	ball	+
phtf	CG8155	+
rept	arm	+
eIF3-S10	Trip1	+
eIF3-S10	eIF-2alpha	+
eIF3-S10	CG9769	+
rdgC	ninaE	+
rdgC	CG2116	+
CG11298	CG12428	-
CG1142	CG8079	+
CG1142	CG3303	+
CG2371	CG32732	+
CG2371	CG31820	+
CG2371	Gem3	+
CG2371	Ca-P60A	+
CG2371	rogdi	-
grau	CG7386	-
grau	nito	-
grau	Ubqn	+
grau	MEP-1	+
croc	dan	-
Mob4	CG10915	+
msi	ps	+
Traf4	wgn	+
Traf4	CG3224	-
Traf4	Brf	+
Traf4	CG8446	+
Traf4	m4	-
TBPH	Cda5	-
TBPH	ATPsyn-beta	+
TBPH	skd	+
TBPH	CycB	+
TBPH	betaTub56D	+
Trf4-1	Cenp-C	-
Trf4-1	CG16717	+
CG42235	da	+
CG42235	Pk17E	+
CG9581	CG17032	-
Rapgap1	CG32105	-
Rapgap1	Tektin-C	-
Rapgap1	CG31999	+
tkv	Mad	+
dsh	sgg	-
dsh	N	-
mib2	Pvr	-
mib2	Rap2l	+
CG8436	CG9740	+
RanGap	Pk92B	+
RanGap	CG7112	+
RanGap	az2	+
CG15705	fan	-
CG3402	GlcAT-P	-
CG15529	bdg	-
CG15529	CG43691	+
Pxn	CG6429	+
MRP	PMCA	-
MRP	TER94	-
MRP	CG1371	+
MRP	Karybeta3	+
MRP	Sec61alpha	+
ana2	Cen	-
CG10479	sip1	+
MED26	Prosbeta5R	+
MED26	MED4	+
MED26	CG30497	+
cav	Su(var)205	+
Aats-asn	clu	+
Aats-asn	Rpn1	+
CG7203	CG34205	+
Prosap	Su(H)	+
Psi	gw	-
Psi	MED10	-
Psi	Bap60	-
Psi	CG34159	+
CG15649	CtBP	-
Elongin-C	CG13631	-
CG32809	dysb	+
CG32809	CG9293	+
CG32809	Pif1A	+
RpL23	Fad2	+
RpL23	CG7011	+
RpL23	star1	-
RpL23	CG9286	+
CG3800	Cpr66Cb	-
CG13502	CAP-D2	+
Stat92E	Psi	+
Stat92E	hop	+
Stat92E	hop	+
Stat92E	dome	+
Stat92E	Su(var)205	+
CG3342	CG7757	+
RpLP0	Chc	+
RpLP0	CG16817	+
RpLP0	eIF4AIII	-
RpLP0	ns1	+
RpLP0	Cctgamma	-
RpLP0	TER94	+
RpLP0	Dp1	-
RpLP0	RpS10b	+
RpLP0	vig	-
RpLP0	Nacalpha	+
RpLP0	Atx2	+
RpLP0	l(1)G0156	-
RpLP0	gp210	-
RpLP0	Rrp46	+
RpLP0	CG11107	-
CG32237	Ets65A	+
rasp	hh	+
rasp	spi	+
barr	fau	+
barr	CAP-D2	+
Taf12	CG9331	-
Taf12	Taf2	+
Taf12	p	+
Taf12	e(y)1	+
Taf12	Taf4	+
Taf12	CG5662	-
mfrn	cdc2	-
pygo	hyx	+
pygo	arm	+
CG14414	CG8665	+
CG17360	row	+
CG17360	RpL19	-
CG15436	nito	+
CG15436	NetA	+
CG15436	CG17568	+
CG33017	Ssdp	+
CG33017	CG9850	+
Not1	VhaAC39-1	+
Not1	CG9368	+
CG14232	CG33144	+
gammaSnap	CG6763	+
gammaSnap	Syx8	-
gammaSnap	foi	-
gammaSnap	Sec22	-
gammaSnap	Bet1	-
gammaSnap	Use1	+
gammaSnap	Gos28	-
Syx1A	Slh	+
Syx1A	Ykt6	+
Syx1A	Use1	+
Syx1A	Snap	+
dl	CtBP	+
dl	smt3	+
jbug	Hmgs	+
RAF2	CG5346	+
RAF2	Thor	+
Atg18	Hsc70-1	-
Atg18	SmD2	-
Atg18	p38b	+
Vha16-1	VhaPPA1-1	+
emc	CG7849	+
smo	babo	+
smo	cos	-
Nurf-38	CG6843	-
Nurf-38	dom	+
Nurf-38	EcR	+
Apc2	arm	-
haf	CG8155	+
Socs44A	hop	-
eIF-2beta	Dp1	-
eIF-2beta	pav	+
disp	hh	+
fog	RfC3	-
fog	png	-
RpL38	CG4810	-
CG16972	RpL23A	-
CG17377	CG4998	+
CG17377	Mbs	-
CG17377	Tequila	-
Tektin-C	Tob	-
Tektin-C	gsb	-
Tektin-C	RpL4	+
Lmpt	dhd	-
Lmpt	CG6701	-
Mbs	slmb	+
brat	CG11505	-
FBX011	CG3708	+
dnc	sns	+
bru-3	mRpL1	+
CG5432	wdb	+
CG7185	MED27	-
CG7185	MED10	-
CG7185	MED7	-
CG7185	CG32479	+
CG7185	ZAP3	-
CG7185	MED17	-
CG7185	CG34159	+
CG7185	ptip	+
CG10365	Prm	-
CG10365	CG12589	-
CG13085	skl	+
CG13085	CG30430	-
CG11486	dome	+
CG3687	CG6013	+
CG12325	CG8064	+
Pros26	Rpt3	+
Pros26	Prosalpha7	+
Pros26	CG15717	-
Pros26	Rpn1	+
Pros26	Rpt1	+
Pros26	Mov34	+
Pros26	Prosalpha5	+
Pros26	Rpn11	+
Pros26	mts	+
Pros26	Prosbeta7	+
Pros26	Rpn9	+
Pros26	Prosbeta1	+
Pros26	Rpn5	+
Pros26	Prosbeta2	+
Pros26	Prosbeta3	+
Pros26	Rpn2	+
Pros26	Tbp-1	+
Pros26	Pros45	+
Pros26	Pomp	+
Pros26	Pros26.4	+
Pros26	Rpn7	+
Pros26	Rpn3	+
Pros26	Pros35	+
Pros26	CG17331	+
Pros26	Rpt4	+
Pros26	Rpn6	+
Pros26	Pros25	+
Pros26	Pros29	+
Pros26	Prosbeta5	+
Cp36	RpS3	+
Cp36	RpS11	+
ect	sec5	-
tsr	CG7737	-
EcR	babo	+
EcR	cdc2rk	-
CG13561	Hsp60B	+
Ilp7	RpL23A	-
Ilp7	InR	+
ACC	Mst98Ca	-
CG33275	MED4	+
Rab7	KdelR	+
Atf-2	RpS8	-
Atf-2	cbs	-
CG11505	CG7185	+
CG11505	Ntf-2	+
CG11505	CG2962	-
CG11505	psd	+
CG11505	CG34159	+
cad	CG34168	-
SmG	SmD2	+
SmG	snRNP-U1-70K	+
SmG	CG4332	-
toy	Ccn	+
toy	Kap-alpha3	-
toy	Nup358	-
toy	topi	-
toy	D19A	+
toy	RpL3	+
toy	su(Hw)	-
toy	RpS3	+
toy	stc	+
toy	Stat92E	-
Socs16D	hop	-
CG1674	Bap60	+
fzy	BubR1	+
fzy	mad2	+
fzy	CycB	+
CG8907	bab1	+
CG8907	Arpc1	+
CG10754	CG16941	+
CG6686	SmD3	+
CG6686	CG6905	+
CG6686	CG11107	+
CG11286	rev7	+
Aplip1	Klc	+
Nab2	CG7646	+
Rpb5	RpII215	+
CG15545	RpL23	-
CG1882	Hsc70-1	+
Cdc37	Ing3	+
Cdc37	aur	-
KdelR	Sec61alpha	+
CG15087	vkg	+
CG15087	dmt	+
CG13871	bip2	+
CG13871	Map60	-
dome	CG7668	+
CG7768	CG4936	-
kuz	N	+
CG14416	star1	+
CG3847	CG8745	+
CG3847	RpS23	+
CG3847	ATPsyn-b	+
SmB	mtrm	-
SmB	CG6353	-
SmB	SH3PX1	+
SmB	betaCop	+
CG34355	CG18745	-
RpL10Ab	par-1	+
RpL10Ab	CG8155	-
cdc2c	CG7987	-
cdc2c	CG15043	-
cdc2c	CycK	-
cdc2c	dimm	-
cdc2c	MED15	+
cdc2c	toy	+
cdc2c	RpS12	+
cdc2c	Chd64	-
cdc2c	Jupiter	-
cdc2c	CG14451	+
cdc2c	St1	-
cdc2c	CG34369	+
cdc2c	CG18011	-
cdc2c	Stat92E	-
cdc2c	EcR	-
cdc2c	Ogg1	-
cdc2c	Arpc2	-
cdc2c	CycC	+
cdc2c	RpII33	+
cdc2c	Orc1	+
cdc2c	CycE	+
cdc2c	Pkc98E	-
cdc2c	Pros26.4	+
cdc2c	CG11141	-
cdc2c	CG15676	-
cdc2c	Trap1	-
cdc2c	Cdk4	+
cdc2c	CG6996	-
cdc2c	CG10600	+
cdc2c	fry	+
cdc2c	CkIIbeta	-
CG9667	CG6015	+
CG9667	CG4849	+
Pka-R1	shrb	+
CG3511	CG9925	+
CG3511	l(3)72Ab	+
crb	Psn	-
flw	tkv	-
flw	Bap60	-
flw	Sara	+
flw	Sara	+
flw	babo	-
flw	elm	-
flw	A16	+
flw	sax	-
flw	svr	+
flw	CG3262	+
flw	Nop17l	+
flw	PNUTS	+
flw	Pp1-Y1	+
flw	mts	+
l(1)G0334	Cam	-
adat	RpL23A	-
adat	CG40127	-
CG1091	Arc1	-
CoVIIc	CG9986	+
Spt3	e(y)1	+
Spt3	Taf5	+
mts	Atg4	-
mts	Pros28.1	+
mts	Hmgs	+
mts	Pp2A-29B	+
mts	CG7033	+
mts	Tcp-1eta	+
mts	igl	-
mts	Trip1	+
mts	CG9578	-
mts	wdb	+
mts	PSR	-
mts	frj	+
mts	Tcp-1zeta	+
Syp	btz	+
Syp	Atx2	+
BtbVII	mTTF	+
BtbVII	polo	+
alphaCop	CG7878	-
l(2)NC136	Not1	+
Lam	spheroide	+
Lam	RpA-70	+
Lam	RPA2	+
CG32165	Epac	+
CG32165	sns	+
Psf2	Mcm3	+
CG6083	S6k	+
CG6083	CG15043	+
CG6083	CycK	+
CG6083	coil	+
CG6083	CG9294	+
CG6083	CG15676	+
CG6083	CG9727	+
CG5484	UbcD2	-
ttk	east	+
ttk	bon	+
ttk	Pp4-19C	-
Tak1	Tab2	+
Tak1	Tab2	+
Tak1	hep	+
Rrp42	Dis3	+
Rrp42	Rrp4	+
CG5213	eIF6	-
CG10508	CG9426	-
CG10508	CG14840	+
CG10508	CycE	-
Argk	Cyt-c-p	+
Argk	Gdh	+
Argk	Mhc	+
Argk	CG31343	+
Argk	Gpdh	-
Argk	Rfabg	+
Argk	up	+
Argk	wupA	-
Argk	Acon	+
Argk	Tsf1	+
Argk	CG7920	-
Argk	CG5500	+
Argk	CG7409	+
Argk	TpnC41C	+
Argk	kdn	+
Argk	Scp1	-
Efhc1.2	Prosbeta7	-
E2f2	heph	+
E2f2	C15	-
E2f2	pUf68	+
Rpb11	RpII33	+
trbl	slbo	-
trbl	SmD2	-
trbl	eIF-4a	-
Lk6	CG7386	+
Lk6	RpL5	-
nocte	gw	+
Hn	CG8036	-
RpL37a	Mical	+
hop	dome	+
hop	dome	+
deltaTry	baz	+
CG34353	CG43896	+
CG34353	CG34402	-
CG34353	CG9986	+
CG34353	sns	+
CG34353	CG42613	+
CG34353	CG15423	+
CG34353	Cpr97Eb	-
CG34353	Npl4	+
vap	Ras85D	+
Gad1	CG9986	+
msn	slpr	+
Nnf1a	CG6470	-
Nnf1a	Chc	-
Nnf1a	noi	-
dgt5	msd1	-
dgt5	dgt3	-
Pif1A	CG14641	+
Pif1A	CG14818	+
Pif1A	Vdup1	-
CG10898	mei-P22	+
sl	vav	+
CG8963	Saf-B	+
chinmo	Lig4	+
chinmo	CG32016	+
chinmo	tim	+
MED28	MED17	+
MED28	MED6	+
Ssdp	Cdk8	+
Ssdp	MED15	+
Ssdp	MED30	+
Ssdp	ptip	+
sgl	hh	+
CG8155	26-29-p	+
OS9	RpL14	-
OS9	CG1324	+
OS9	CG5938	+
OS9	Su(P)	+
OS9	T-cp1	-
nkd	dsh	-
Act79B	kdn	-
Krn	Egfr	+
vkg	CG11395	+
vkg	CG7049	+
vkg	mys	+
Fad2	Cyt-b5	+
chic	Fkbp13	+
chic	cib	+
CG3061	Hsc70-1	+
CG30031	baz	+
stg	Taf1	+
stg	CG7172	+
SNF4Agamma	CkIIalpha	-
SNF4Agamma	SNF1A	+
SNF4Agamma	alc	+
Akap200	Chd64	-
Mkk4	CG6701	+
Mkk4	bsk	+
Mkk4	snRNP-U1-70K	-
Mkk4	Cctgamma	-
Mkk4	Cnx99A	+
Mkk4	Jupiter	+
sgg	smo	+
sgg	arm	-
sgg	Saf-B	+
sgg	CG6701	-
sgg	Apc2	+
sgg	ci	-
sgg	slmb	+
sgg	CG5568	+
sgg	arr	+
sgg	Jra	-
CG16979	PGRP-LA	-
CG16979	resilin	-
CG14989	Nbr	-
CG18266	SmE	-
CG18266	X11L	+
CG31729	PMCA	+
CG31729	Sec61alpha	+
mRpL18	mRpS30	+
mRpL18	Poxm	+
Ccn	CG9184	+
Ccn	nimC1	+
Ccn	Sec61alpha	+
ref(2)P	CG2678	-
ref(2)P	Prosbeta3	-
ref(2)P	Rpt4	-
CG12744	Rbp9	-
ase	emc	-
CG9346	Saf-B	+
CG9346	CG6937	-
CG11267	CG6084	+
inaC	trp	+
inaC	trpgamma	+
inaC	SmG	-
inaC	Rpd3	-
Cp1	Droj2	-
Cp1	CG5854	+
CG11790	CG3397	+
H	CtBP	+
H	CtBP	-
H	N	-
CG8142	RfC4	+
CG8142	Ku80	+
CG13397	Torsin	+
dally	hh	+
dally	wg	+
RabX1	CG5044	-
Vap-33-1	Sac1	+
Vap-33-1	Hsc70-1	+
CG12259	Sas10	+
Mcm2	Mcm10	+
Mcm2	CDC45L	+
Mcm2	Mcm3	+
Mcm2	dpa	+
Mcm2	Mcm6	+
Mcm2	Mcm5	+
Hex-A	Hsc70-1	-
RpL13A	Eap	-
RpL13A	sec5	+
RpL13A	Spc25	+
RpL13A	Arpc5	+
RpL13A	CG3880	-
RpL13A	CG32016	+
Pa1	ptip	-
CG1789	Sas10	+
CG1789	Mys45A	+
CG1789	Max	+
CG3493	CG3645	-
CG9967	Taf2	+
CG9967	pan	-
Pdk1	S6k	+
Pdk1	S6k	+
Pdk1	Map205	-
Pdk1	Ge-1	-
Pdk1	nito	-
Pdk1	Akt1	+
Pdk1	Akt1	+
Pdk1	l(3)neo38	+
Pdk1	Tbp-1	-
Pdk1	pav	-
Pdk1	Srp54	-
Oscp	CG3321	+
Oscp	CG31522	-
Oscp	Rtnl1	+
Oscp	ATPsyn-gamma	+
Oscp	l(1)G0230	+
Oscp	ATPsyn-b	+
CG10694	SmB	-
CG10694	Rpt1	-
MED31	MED7	+
MED31	MED17	+
MED31	1-Sep	+
CG10077	CG34159	-
CG8888	CG10425	+
CG8888	CG2065	+
CG42613	CG12393	-
Hpr1	mtacp1	+
Hpr1	CG32687	+
Hpr1	Pex7	+
Hpr1	RpII33	-
Hpr1	CG32486	+
Hpr1	CG5569	+
Hpr1	CG14451	-
Hpr1	CG11138	-
Hpr1	Rcd4	-
Hpr1	rev7	-
CG17816	CG6885	-
CG17816	CG6996	+
Mi-2	ttk	+
Mi-2	l(1)G0020	+
Prosbeta2	Rpt3	+
Prosbeta2	Prosalpha7	+
Prosbeta2	Rpn1	+
Prosbeta2	CG15717	-
Prosbeta2	Rpt1	+
Prosbeta2	Rpn11	+
Prosbeta2	Prosbeta7	+
Prosbeta2	Rpn9	+
Prosbeta2	Prosalpha1	+
Prosbeta2	CG13319	-
Prosbeta2	Prosbeta3	+
Prosbeta2	Rpn2	+
Prosbeta2	Tbp-1	+
Prosbeta2	Pomp	+
Prosbeta2	Rpn7	+
Prosbeta2	Pros35	+
Prosbeta2	Rpn3	+
Prosbeta2	CG17331	+
Prosbeta2	Pros29	+
Prosbeta2	Pros25	+
Prosbeta2	Rpt4	+
Prosbeta2	Rpn6	+
Prosbeta2	Prosbeta5	+
pit	nop5	+
pit	CG9253	+
pit	ns1	+
pit	CG2691	+
pit	CG6712	+
pit	CG8801	+
CG17260	CG1635	-
CG7295	CG13806	+
CG32103	grsm	-
CG32103	Abi	+
CG8079	Hsc70-1	-
CG8079	CG11107	+
CG3071	CG32369	-
iotaTry	baz	+
CG1109	Cpsf160	+
CG1109	CG7033	+
CG1109	Sym	+
CG1109	Cpsf73	+
CG10680	CAP	+
CG31224	CG8145	-
CG43729	CG42820	-
CG43729	CG43691	-
CG43729	CG8740	+
CG43729	CG15370	+
CG43729	Pk92B	+
CG43729	sns	+
CG43729	park	+
CG43729	sisA	+
CG43729	Lpt	-
CG43729	CG15631	-
CG42319	Mbs	+
wg	fz2	+
wg	fz	+
wg	fz4	+
1-Sep	Ef1alpha48D	+
CG8230	CG9986	+
Bap	AP-2sigma	+
Bap	CG6841	-
sog	dpp	-
sog	gbb	-
CG5191	CG7191	-
CG13311	Np	+
RpS14a	GEFmeso	-
RpS14a	CG33275	-
en	ci	-
Pros45	Rpt3	+
Pros45	Prosalpha1	+
Pros45	Prosbeta3	+
Pros45	Prosbeta2	+
Pros45	Prosalpha7	+
Pros45	Tbp-1	+
Pros45	CG7033	+
Pros45	Rpt1	+
Pros45	Rpn7	+
Pros45	Rpn3	+
Pros45	Pros35	+
Pros45	CG17331	+
Pros45	Pros29	+
Pros45	Rpn9	+
Pde11	Spn31A	-
Hsc70-4	CG9331	-
Hsc70-4	CG7970	-
Hsc70-4	DnaJ-1	+
Hsc70-4	Pros25	+
Hsc70-4	CG7945	-
Hsc70-4	Chd64	+
Kap-alpha3	Vps4	+
Kap-alpha3	CG10425	+
Kap-alpha3	MRP	+
Kap-alpha3	Pp2A-29B	-
Kap-alpha3	Sec61alpha	+
CG13323	desat1	+
Gprk1	ninaE	-
Socs36E	hop	-
Tace	N	+
ct	polo	+
zetaTry	baz	+
Ras85D	cindr	+
Ras85D	alt	+
Ras85D	RhoGEF2	-
Ras85D	rpr	-
Ras85D	drk	+
Ras85D	phl	+
Ras85D	glo	+
Ras85D	Trip1	+
Ras85D	loco	-
Ras85D	CR10102	+
Ras85D	Rab5	+
Ras85D	PTP-ER	-
Ras85D	Jra	-
Ras85D	cnk	+
Ras85D	Egfr	+
qkr58E-2	CG6701	+
qkr58E-2	CG4612	+
CstF-50	RpL14	+
RpL30	TfIIA-L	+
RpL30	CG32016	+
RpL30	CG3847	+
hoe1	Pp2B-14D	+
CSN5	CSN7	+
CSN5	CG6196	+
CSN5	CSN6	+
S6k	chico	-
S6k	raptor	+
HmgD	CG16817	+
HmgD	Erk7	-
HmgD	smt3	+
HmgD	Pdi	-
HmgD	Chd64	+
HmgD	Nacalpha	+
Cul-2	Xpac	+
Cul-2	CG5731	+
Cul-2	Elongin-C	+
Cul-2	CG18273	+
Cul-2	Smg6	+
Topors	Top1	-
CG17778	CG17803	+
cno	Ras85D	-
ihog	hh	+
mtd	CG7737	+
mtd	drongo	+
mRpL55	CG2116	+
Pros28.1B	Stat92E	+
CG14712	Kap-alpha3	+
CG14712	CG43340	-
CG3632	CG7556	+
CG17167	CG42613	+
Pros28.1	Rpn2	+
Pros28.1	CG17331	+
Pros28.1	Pros25	+
Pros28.1	Rpn11	+
Pros28.1	Pdi	+
Pros28.1	Prosbeta7	+
nub	CG34168	-
fd68A	PGRP-LC	-
CG34401	CG34168	-
CG34401	sm	-
gbb	tkv	+
gbb	sax	+
enok	CG5538	-
enok	Doa	-
enok	CG18745	+
enok	CG17568	-
enok	wkd	-
Fas1	comm3	+
CG18004	CG31111	-
CG18004	SmB	-
Klc	PGRP-LA	+
Klc	tud	+
Klc	gus	+
CG3295	Atpalpha	+
tum	pbl	+
CG9467	bor	-
Vha26	VhaSFD	+
TSG101	CG2641	-
TSG101	dom	+
TSG101	Kat60	-
TSG101	prominin-like	+
TSG101	cactin	+
TSG101	Vps28	+
TSG101	CG4364	-
TSG101	Msp-300	-
Klp64D	smo	-
Klp64D	yellow-g	+
CG1234	CG5359	-
dpp	tkv	+
Hsc70-1	CG10887	+
Hsc70-1	Hsc70-2	+
Hsc70-1	ns1	+
pie	pUf68	+
sip1	CG7757	+
CG2862	eIF-5A	-
Naam	Prosalpha5	-
CG11700	Ubp64E	+
CG9172	CG6020	+
CG1041	CtBP	-
CG1041	Tango10	-
RpLP2	dl	+
RpLP2	Csk	-
CG2065	Sc2	+
Dsor1	eIF-4E	+
Dsor1	skap	-
Dsor1	sesB	+
Dsor1	Act5C	+
Dsor1	cpa	-
Dsor1	Hsc70-5	-
Dsor1	cnk	+
Dsor1	Egfr	+
Dsor1	Hsc70-1	+
Dsor1	Hsc70-4	+
Dsor1	sqd	+
Dsor1	14-3-3epsilon	+
Dsor1	glo	+
Dsor1	phl	+
Dsor1	phl	+
Dsor1	Mec2	+
Dsor1	Saf-B	-
Dsor1	PTP-ER	-
Dsor1	RhoGAP18B	-
Dsor1	CG5642	-
Dsor1	cbs	+
Dsor1	CG31918	-
Dsor1	CG4169	+
Diedel	Taf12	-
CG6701	CG4612	+
Ubqn	row	+
Ubqn	TwdlL	-
Ubqn	RpS27A	+
Ubqn	eff	+
Ubqn	TwdlM	+
Ubqn	nxf2	+
Ubqn	geminin	+
CG12861	aru	-
CG14367	sbr	+
CG16885	Cpr62Bc	-
CG3925	Glycogenin	-
CG11638	skl	+
sced	CG10887	-
CG10418	CG8021	+
Rm62	row	+
Rm62	numb	-
Rm62	Cpr72Ea	-
Rm62	C15	-
Rm62	Tsc1	-
Rm62	CG7879	+
Rm62	usnp	+
Pi3K92E	Pdk1	+
Pi3K92E	Rac1	+
slpr	hep	+
lig3	Mical	-
lig3	mnb	+
msb1l	Poxm	+
msb1l	RnrS	+
MED14	CG7185	-
MED14	MED4	+
MED14	MED25	+
MED14	MED31	+
MED14	ptip	+
MED14	MED27	+
MED14	MED10	+
MED14	MED7	+
MED14	MED17	+
Rop	bor	+
CG5026	CSN4	+
l(3)neo43	pUf68	+
CG11164	Ets97D	-
CG11164	CG31211	-
CG11164	CG14512	-
CG11164	trsn	-
CG11164	tinc	+
CG11164	CG33017	-
CG11164	mod(mdg4)	+
CG11164	CG15167	+
CG11164	CG7196	+
Mal-A1	CG9014	-
pnut	Orc6	+
wts	mats	+
wts	hpo	+
wts	sav	-
CG17331	Cpr11A	+
CG17331	Pros35	+
CG17331	Pros25	+
CG17331	Pros29	+
CG17331	Pomp	+
CG17331	MED15	+
CG17331	Prosbeta7	+
CG11138	CG11581	-
CG11138	CG11505	+
CG11138	CG6923	-
CG11138	Spx	+
CG11138	Sin3A	+
CG11138	mod(mdg4)	-
CG11138	CG14543	+
CG11138	CG5380	+
CG11138	nompB	+
ApepP	pUf68	+
CG12241	CkIalpha	+
CG6638	CG7987	+
CG6638	Uba2	+
Lcp65Ag3	CG8232	+
JhI-1	CG4887	+
drk	shi	-
drk	cindr	+
drk	chico	+
drk	chico	-
drk	Shc	+
drk	Shc	+
drk	Pvr	+
drk	Spn	-
drk	sl	-
drk	csw	+
drk	PR2	-
drk	jub	+
drk	moody	-
drk	dos	+
drk	14-3-3epsilon	+
drk	RhoGAP15B	-
drk	phl	+
drk	pyd	-
drk	Sra-1	+
drk	Csk	-
Sin3A	HDAC6	-
Sin3A	CG14220	+
Sin3A	CG4400	+
CG4168	CG6509	-
RpS2	dl	+
RpS2	RpL35A	+
DNApol-alpha73	CG16894	-
Smox	Med	+
nompB	dimm	+
nompB	HLH4C	+
CG11377	CG7427	-
CG11377	CG15043	-
mei-S332	CG5882	-
SC35	SmD3	+
SC35	imd	-
SC35	Srp54	-
eRF1	Sap47	-
pAbp	CtBP	+
pAbp	eIF4G	+
pAbp	TwdlJ	+
pAbp	Taz	-
CG31999	Hel89B	-
CG31999	RpL9	-
CG31999	RpL32	-
glec	Pk17E	+
CG3436	CG6015	+
CG3436	CG4849	+
CG3436	Prp8	+
Rdl	Amun	+
Rdl	Jafrac1	+
CG13070	CG7290	-
Gint3	TER94	+
CG4822	CG12012	+
Cpr11A	MCPH1	+
Bx	Chi	+
comm3	Scamp	-
CG11583	CG6724	+
CG11583	CG8939	+
CG11583	CG1785	+
CG2812	Rpn2	+
CG2812	U2af38	+
CG2812	CG7033	+
RpS21	BthD	-
RpS21	CG1129	-
RpS21	HP1e	-
RpS21	Arc1	-
RpS21	step	-
CG3769	RpL3	-
AGO1	CG10077	+
AGO1	CG11505	+
AGO1	Atx2	-
CG12811	CG7065	+
sav	CG3689	+
CG17599	CG6497	-
CG17599	RpS17	+
HPS4	RpS3	-
CG1138	scramb2	-
CG15676	RpS7	-
CG15676	CG32086	+
CG15676	UGP	+
CG13349	Act5C	-
nwk	SPE	+
nwk	PSR	+
CG10262	crn	-
CG10262	CG11802	+
CG10262	mus209	-
CG11340	PebII	+
step	Taf12	-
step	CG13458	-
step	alpha-Man-I	+
step	Uro	+
step	skd	-
step	CG8232	+
IntS10	CG7757	-
msd5	fau	+
msd5	NaCP60E	-
RpL23A	CG42369	-
par-1	dsh	+
par-1	Ets97D	+
par-1	CG3683	+
par-1	CG14053	-
par-1	RhoGAP68F	+
par-1	CG15440	-
par-1	nemy	+
par-1	wdb	+
par-1	CG12725	-
CG2811	RpL15	+
vih	Fer1HCH	+
CG14074	RpL22-like	+
CG6972	C15	-
Cyt-c-p	Prm	+
Cyt-c-p	dl	+
Cyt-c-p	skpB	+
Cyt-c-p	Mlc1	+
Cyt-c-p	Cpn	+
Cyt-c-p	Tm2	+
Cyt-c-p	kdn	+
Cyt-c-p	CG9014	-
Cyt-c-p	cv-c	+
Mes2	RpLP1	+
Mes2	CG15564	+
Mes2	Scp2	-
Mes2	CG31033	+
Abl	Crk	-
Abl	Rad9	+
Abl	trio	+
Abl	N	+
CG1317	CG7546	-
CG3880	RpL39	-
CG3880	RpS19b	-
cv-c	CG9836	+
cv-c	Mst84Db	+
cv-c	CG8701	-
cv-c	Plap	-
Rpn9	Rpn5	+
Rpn9	Rpn12	+
Rpn9	Rpn3	+
Rpn9	Pros35	+
Rpn9	CG17331	+
Rpn9	Rpn1	+
Rpn9	Prosbeta7	+
RpL9	ns1	+
RpL9	CG42369	-
RpL9	CG13369	+
CG13319	Prosbeta7	-
by	Abi	+
Rab5	Droj2	+
Rab5	Cctgamma	-
Rab5	Rab7	+
Rab5	ZnT63C	-
Rab5	Rpt1	+
Pp1-87B	CG8801	+
chico	Pi3K21B	+
chico	Vps4	-
chico	Pi3K92E	+
chico	14-3-3epsilon	-
CG14869	Epac	+
CG14869	CG18745	-
CG14869	CG15167	+
aur	capt	-
aur	CG8036	+
aur	Cctgamma	-
aur	Hel25E	-
aur	rept	+
aur	fax	+
aur	Eip55E	-
aur	cib	-
aur	Uba1	-
aur	tub	-
aur	Prosalpha5	-
aur	Fim	-
aur	smt3	-
aur	Jra	-
CG14641	Cda5	-
CG14641	coro	-
CG14641	CG15631	-
CG14641	gfzf	-
CG14641	l(2)NC136	+
Cbp80	Cbp20	+
msd1	msd5	+
Git	CG7757	+
Git	CG3294	-
CG5280	CG7352	+
Srp68	MED19	-
Srp68	Ef1alpha48D	+
CG14323	CG31211	+
CG14323	Srp54	-
CG31211	CG6843	-
CG31211	CG5808	+
CG31211	CG6126	+
CG31211	CG6066	+
CG31211	Ing3	-
CG31211	Srp54	-
CG31211	RpL7A	+
CG4563	eIF-5A	-
Dys	lsn	+
Dys	Grip84	-
gig	14-3-3zeta	-
gig	Tsc1	+
gig	Tor	-
gig	14-3-3epsilon	-
CG13900	CG11985	+
CG13900	CG13298	+
CG13900	CG5642	+
Hem	SCAR	+
Hem	Abi	+
Hem	Sra-1	+
Ercc1	cdc2	+
Ercc1	CG15631	-
CG17568	RpS27A	+
CG17568	CG7911	+
CG17568	RpL24	+
CG17568	Hrb98DE	-
Fuca	Mbs	-
CG11837	Sas10	+
CG11837	eIF-3p66	+
CG13625	crn	+
CG13625	kin17	+
Rh2	RpL4	-
